,Open,High,Low,Close,EMA_20,Dist_EMA_20,RSI,RSI_Change,Momentum,Range,Target,Signal,Market_Pct_Change,Trade_Cost,Strategy_Returns,Market_Performance,Bot_Performance
2007-04-11,1.3439,1.3441,1.3407,1.343,1.3338347404239386,0.0068713606703243,59.8425196850393,4.4691134919609965,0.0046379413524835,0.0025316455696203,1,1,0.0037974683544304,0.0001,0.0036974683544304,1.018279326233099,1.0446919573354816
2007-04-12,1.343,1.3503,1.3429,1.3481,1.3351933365740396,0.0096665127606744,69.33593749999982,9.493417814960516,0.0038722168441434,0.0054892070321193,1,1,0.003412209776722852,0.0,0.003412209776722852,1.0217539089055063,1.0482566654459655
2007-04-13,1.3483,1.3551,1.3481,1.3527,1.3368606378527026,0.0118481775129073,69.27592954990197,-0.0600079500978409,0.0111376887427119,0.0051748355141567,1,0,0.0005174835514156761,0.0001,-0.0001,1.0222826497469597,1.048151839779421
2007-04-16,1.3541,1.3576,1.353,1.3534,1.3384358152000644,0.011180352938851,68.4738955823291,-0.8020339675728678,0.0135550063656106,0.0033988473474212,1,1,0.0023644155460322835,0.0001,0.0022644155460322837,1.0246997507364606,1.0505252911000198
2007-04-17,1.3534,1.3593,1.3522,1.3566,1.340165737561963,0.0122628582252328,75.65922920892476,7.18533362659565,0.0094501078949325,0.0052336724163348,1,1,0.00294854784018872,0.0,0.00294854784018872,1.0277211269733364,1.0536228151781564
2007-04-18,1.3566,1.3615,1.3545,1.3606,1.342111857794157,0.0137754108187594,76.74418604651142,1.0849568375866596,0.0131049888309755,0.0051447890636483,1,0,0.0003674849331176677,0.0001,-0.0001,1.0280987990029458,1.0535174528966387
2007-04-19,1.3608,1.3619,1.356,1.3611,1.3439202522899516,0.0127833088911155,75.951903807615,-0.7922822388964192,0.0096432015429122,0.004334729263096,0,0,-0.0016898097127323597,0.0,-0.0,1.026361507666742,1.0535174528966387
2007-04-20,1.361,1.3637,1.3586,1.3588,1.34533737111948,0.0100068794411898,71.90569744597232,-4.046206361642675,0.0045094995194796,0.0037533117456578,0,1,-0.0008831321754489974,0.0001,-0.0009831321754489974,1.0254550947956793,1.052481705991299
2007-04-23,1.3594,1.3607,1.3542,1.3576,1.3465052405366724,0.0082396704664183,75.30864197530838,3.402944529336054,0.0031032954041672,0.0047878609310547,1,1,0.004419563936358228,0.0,0.004419563936358228,1.029987159150993,1.057133216182775
2007-04-24,1.3575,1.3643,1.3547,1.3636,1.3481333128665132,0.0114726689014161,76.37795275590524,1.0693107805968651,0.0051599587203301,0.0070401877383397,1,1,7.333528894104546e-05,0.0,7.333528894104546e-05,1.030062693556915,1.0572107413526328
2007-04-25,1.3639,1.3665,1.3621,1.3637,1.349615854498274,0.0104356698647126,73.21428571428542,-3.163667041619817,0.0022784065853298,0.0032265160959154,0,0,-0.0025665468944781056,0.0001,-0.0001,1.0274189893496488,1.0571050202784975
2007-04-26,1.3636,1.3654,1.3584,1.3602,1.3506238683555811,0.0070901543122276,75.92592592592568,2.7116402116402583,-0.0006612298875908,0.0051463020144095,1,1,0.0034553742096750106,0.0001,0.003355374209675011,1.030969106427978,1.060652003200458
2007-04-27,1.3598,1.3678,1.3586,1.3649,1.3519834999407638,0.009553740899798,82.59911894273128,6.673193016805598,0.0044892552251987,0.0067404205436294,0,1,-0.0002197963220748056,0.0,-0.0002197963220748056,1.0307425032102124,1.0604188757911532
2007-04-30,1.3631,1.3679,1.3589,1.3646,1.353185071374977,0.0084356004706914,77.8975741239892,-4.701544818742079,0.0051561579257513,0.0065953392935658,0,1,-0.0030778250036640475,0.0,-0.0030778250036640475,1.0275700581614928,1.0571550920608859
2007-05-01,1.3647,1.3673,1.3591,1.3604,1.3538722074345029,0.0048215721762005,71.53465346534676,-6.362920658642437,-0.0023467292461131,0.0060276389297265,0,0,-0.000882093501911263,0.0001,-0.0001,1.02666364529043,1.0570493765516797
2007-05-02,1.3602,1.3613,1.3561,1.3592,1.3543796162502644,0.0035591083119526,65.20547945205475,-6.329174013292018,-0.0032998460071862,0.0038257798705119,0,0,-0.0030900529723366654,0.0,-0.0,1.0234912002417105,1.0570493765516797
2007-05-03,1.3591,1.362,1.3546,1.355,1.3544387004169058,0.0004144149033259,53.18559556786701,-12.019883884187742,-0.0038229672107044,0.0054612546125461,1,0,0.002952029520295163,0.0,0.0,1.0265125764785863,1.0570493765516797
2007-05-04,1.3551,1.3609,1.3533,1.359,1.35487310990101,0.0030459605913142,57.10659898477165,3.921003416904647,-0.0043226610008059,0.0055923473142016,1,1,0.0008094186902134481,0.0001,0.0007094186902134481,1.0273434549437273,1.057799267135884
2007-05-07,1.36,1.3626,1.3591,1.3601,1.3553709089580568,0.0034891489928604,54.691689008042985,-2.4149099767286657,-0.0032976696467829,0.0025733401955738,0,0,-0.004264392324093813,0.0001,-0.0001,1.022962459400257,1.0576934872091703
2007-05-08,1.36,1.3621,1.3516,1.3543,1.355268917628718,-0.0007149264740855,41.94373401534529,-12.747954992697691,-0.0044839753013818,0.0077530827733885,0,0,-0.0011814221368973143,0.0,-0.0,1.0217539089055068,1.0576934872091703
2007-05-09,1.3543,1.3566,1.3519,1.3527,1.3550242588069354,-0.0017152894435867,39.5522388059702,-2.391495209375094,-0.00478222483814,0.0034745324166481,0,1,-0.0035484586382789063,0.0001,-0.003648458638278906,1.0181282574212558,1.0538345362691106
2007-05-10,1.3527,1.3563,1.3465,1.3479,1.3543457579681797,-0.0047593149166352,37.23653395784552,-2.3157048481246747,-0.0052398523985238,0.007270569033311,1,0,0.003190147637065044,0.0001,-0.0001,1.0213762368758974,1.0537291528154837
2007-05-11,1.3481,1.3531,1.3463,1.3522,1.3541414000664485,-0.0014336760299575,44.10480349344993,6.868269535604405,-0.0050036791758645,0.0050288418872947,1,1,0.001700931814820228,0.0001,0.0016009318148202279,1.0231135282121009,1.0554161013404295
2007-05-14,1.3526,1.3558,1.3524,1.3545,1.3541755524410723,0.0002395904713704,39.19239904988132,-4.912404443568612,-0.0041173443129182,0.0025101513473605,1,1,0.0033222591362125353,0.0,0.0033222591362125353,1.026512576478586,1.0589224671256137
2007-05-15,1.3542,1.3608,1.3527,1.359,1.3546350236371607,0.0032222527003025,44.94623655913984,5.753837509258524,0.0034704275271357,0.0059602649006622,0,0,-0.0055187637969095205,0.0001,-0.0001,1.0208474960344438,1.0588165748789011
